reason,product_name,version,doc_url,zip_url
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,2.1.2,https://docs.tibco.com/products/tibco-businessworks-processmonitor-2-1-2,https://docs.tibco.com/pub/businesswork_process_monitor/2.1.2_may-2013/tibco-businessworks-processmonitor-2-1-2_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,2.1.0,https://docs.tibco.com/products/tibco-businessworks-processmonitor-2-1-0,https://docs.tibco.com/pub/businesswork_process_monitor/2.1.0-february-2013/tibco-businessworks-processmonitor-2-1-0_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,2.0.0,https://docs.tibco.com/products/tibco-businessworks-processmonitor-2-0-0,https://docs.tibco.com/pub/businesswork_process_monitor/2.0.0_november_2012/tibco-businessworks-processmonitor-2-0-0_documentation.zip
zip_http_200,TIBCO Cloud™ Spotfire® 14.6.0,14.6.0,https://docs.tibco.com/products/tibco-cloud-spotfire-14-6-0,https://docs.tibco.com/pub/sfire-cloud/14.6.0/tibco-cloud-spotfire-14-6-0_documentation.zip
zip_http_200,TIBCO eFTL™ - Enterprise Edition,6.10.2,https://docs.tibco.com/products/tibco-eftl-enterprise-edition-6-10-2,https://docs.tibco.com/pub/eftl/6.10.2/tibco-eftl-enterprise-edition-6-10-2_documentation.zip
zip_http_200,TIBCO Flogo®,2.24.0,https://docs.tibco.com/products/tibco-flogo-enterprise-2-24-0,https://docs.tibco.com/pub/flogo/2.24.0/tibco-flogo-enterprise-2-24-0_documentation.zip
zip_http_200,TIBCO Flogo® Connector for Microsoft Azure Data Factory,1.1.1,https://docs.tibco.com/products/tibco-flogo-connector-for-microsoft-azure-data-factory-1-1-1,https://docs.tibco.com/pub/flogo-azdatafactory/1.1.1/tibco-flogo-connector-for-microsoft-azure-data-factory-1-1-1_documentation.zip
zip_http_200,TIBCO Foresight® Translator Attachment Adapter,1.1.0,https://docs.tibco.com/products/tibco-foresight-translator-claims-attachment-adapter-1-1-0,https://docs.tibco.com/pub/fs_translator_clm_attch_adapter/1.1.0/tibco-foresight-translator-claims-attachment-adapter-1-1-0_documentation.zip
zip_http_200,TIBCO Foresight® Translator Attachment Adapter,1.0.0,https://docs.tibco.com/products/tibco-foresight-translator-claims-attachment-adapter-1-0-0,https://docs.tibco.com/pub/fs_translator_clm_attch_adapter/1.0.0/tibco-foresight-translator-claims-attachment-adapter-1-0-0_documentation.zip
zip_http_200,TIBCO FTL® - Enterprise Edition,6.10.2,https://docs.tibco.com/products/tibco-ftl-enterprise-edition-6-10-2,https://docs.tibco.com/pub/ftl/6.10.2/tibco-ftl-enterprise-edition-6-10-2_documentation.zip
zip_http_200,TIBCO Hawk® Database Adapter,5.1.0,https://docs.tibco.com/products/tibco-hawk-database-adapter-5-1-0,https://docs.tibco.com/pub/hawk_database_adapter/5.1.0/tibco-hawk-database-adapter-5-1-0_documentation.zip
zip_http_200,TIBCO iProcess® Suite,1.0.0,https://docs.tibco.com/products/tibco-iprocess-suite-1-0-0,https://docs.tibco.com/pub/iprocess/1.0.0/tibco-iprocess-suite-1-0-0_documentation.zip
zip_http_200,TIBCO Nimbus™ Storyboard Player,3.0.0,https://docs.tibco.com/products/tibco-nimbus-storyboard-player-3-0-0,https://docs.tibco.com/pub/nimbus-iphone/3.0.0/tibco-nimbus-storyboard-player-3-0-0_documentation.zip
zip_http_200,TIBCO OpenSpirit® ArcGIS Extension,2010,https://docs.tibco.com/products/tibco-openspirit-arcgis-extension-2010,https://docs.tibco.com/pub/openspirit-arcgis-extension/2010-march-2011/tibco-openspirit-arcgis-extension-2010_documentation.zip
zip_http_200,TIBCO OpenSpirit® Copy Rule Manager,2015.1.0,https://docs.tibco.com/products/tibco-openspirit-copy-rule-manager-2015-1-0,https://docs.tibco.com/pub/os-copy-rm/2015.1.0/tibco-openspirit-copy-rule-manager-2015-1-0_documentation.zip
zip_http_200,TIBCO OpenSpirit® Scan for Studio,6.0.0,https://docs.tibco.com/products/tibco-openspirit-scan-for-studio-6-0-0,https://docs.tibco.com/pub/os-scan-studio/6.0.0/tibco-openspirit-scan-for-studio-6-0-0_documentation.zip
zip_http_200,TIBCO OpenSpirit® Web Server 2008,2008,https://docs.tibco.com/products/tibco-openspirit-web-server-2008,https://docs.tibco.com/pub/openspirit-web-server/2008-december-2008/tibco-openspirit-web-server-2008_documentation.zip
zip_http_200,TIBCO Service Gateway™ for Files,6.0.0,https://docs.tibco.com/products/tibco-service-gateway-for-files-6-0-0,https://docs.tibco.com/pub/service-gateway-for-files/6.0.0-july-2012/tibco-service-gateway-for-files-6-0-0_documentation.zip
zip_http_200,TIBCO Service Gateway™ for Files,5.3.0,https://docs.tibco.com/products/tibco-service-gateway-for-files-5-3-0,https://docs.tibco.com/pub/service-gateway-for-files/5.3.0-august-2011/tibco-service-gateway-for-files-5-3-0_documentation.zip
zip_http_200,TIBCO Service Gateway™ for Files,5.2.0,https://docs.tibco.com/products/tibco-service-gateway-for-files-5-2-0,https://docs.tibco.com/pub/service-gateway-for-files/5.2.0-august-2010/tibco-service-gateway-for-files-5-2-0_documentation.zip
zip_http_200,TIBCO Service Gateway™ for Files,5.1.0,https://docs.tibco.com/products/tibco-service-gateway-for-files-5-1-0,https://docs.tibco.com/pub/service-gateway-for-files/5.1.0-january-2009/tibco-service-gateway-for-files-5-1-0_documentation.zip
zip_http_200,TIBCO Spotfire® Capability Matrix,14.4.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-4-0,https://docs.tibco.com/pub/sf-cap-mtx/Spotfire 14.4.0 Capability Matrix.pdf/spotfire-capability-matrix-14-4-0_documentation.zip
