product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
Spotfire® Server,14.0.6,1942,1553,"Legal and Third-Party
               	 Notices",2024-12-02,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-6.xml
Spotfire® Server,14.0.7,1943,1554,"Legal and Third-Party
               	 Notices",2025-04-04,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-7.xml
Spotfire® Server,14.0.8,2018,1614,"Legal and Third-Party
               	 Notices",2025-06-17,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-8.xml
Spotfire® Server,14.0.9,1941,1552,"Legal and Third-Party
               	 Notices",2025-10-21,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-9.xml
Spotfire® Server,14.4.0,1998,1598,"Legal and Third-Party
               	 Notices",2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-4-0.xml
Spotfire® Server,14.4.1,1972,1577,"Legal and Third-Party
               	 Notices",2024-12-05,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-4-1.xml
Spotfire® Server,14.4.2,1972,1577,"Legal and Third-Party
               	 Notices",2025-04-04,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-4-2.xml
Spotfire® Server,14.5.0,2003,1602,"Legal and Third-Party
               	 Notices",2025-06-17,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-5-0.xml
Spotfire® Server,14.6.0,1657,1325,"Legal and Third-Party
               	 Notices",2025-10-21,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-6-0.xml
Spotfire® Server,14.6.1,1647,1317,"Legal and Third-Party
               	 Notices",2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-6-1.xml
