file_path,table_index,row_count,col_count,categories,high_risk,near_heading,other_block_tags,content_preview
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-by-using-an-update-site.htm,1,3,3,SIMPLE,,Uninstalling by Using an Update Site,,Uninstallation Method Description Reference Uninstall using the public update site You can uninstall the plug-in from wi
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-in-gui-mode.htm,1,3,2,SIMPLE,,Uninstalling in GUI Mode,,Option Description Custom Uninstall You can select the products to be removed. Typical Uninstall You cannot select the p
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-in-silent-mode.htm,1,5,2,CODE_IN_CELL,,Uninstalling in Silent Mode,,Command-Line Options Description uninstallTIBCOHome The path to the TIBCO_HOME where you want to run the uninstaller. Th
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-the-plug-in-by-using-the-public-update-site-or-local-update.htm,1,3,2,SIMPLE,,Uninstalling the Plug-in by Using the Public Update Site or Local Update Site,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-the-plug-in-by-using-tibco-businessworks-plug-ins-manager.htm,1,3,2,SIMPLE,,Uninstalling the Plug-in by Using TIBCO BusinessWorks Plug-ins Manager,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwpdk/6.3.1/doc/html/installation-guide/uninstalling-the-plugin-by-using-the-public-update-site-or-local-update-.htm,1,3,2,SIMPLE,,Uninstalling the Plug-in by Using the Public Update Site or Local Update Site,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwpdk/6.3.1/doc/html/users-guide/business-studio-overview.htm,1,7,2,CODE_IN_CELL|IMAGE_IN_CELL|LIST_IN_CELL,,Overview of TIBCO Business Studio for BusinessWorks,,"UI Element Description Menu Contains menu items such as File, Edit, Navigate, Search, Project, Run, Window, and Help. To"
pub/bwpdk/6.3.1/doc/html/users-guide/configurations-for-project.htm,1,5,2,CODE_IN_CELL|LIST_IN_CELL|MULTI_PARAGRAPH,,Configurations for XX,,"Activity Description Put Stores a batch of tuples into the space. If an error occurs during the Put operation, the group"
pub/bwpdk/6.3.1/doc/html/users-guide/connection-resource.htm,1,5,3,SIMPLE,,General,,Property Module Property? Yes/No Description Name No The name to be displayed as the label for the shared resource in th
pub/bwpdk/6.3.1/doc/html/users-guide/error-codes.htm,1,3,5,SIMPLE,,Error Codes,,Error code and error message Role Category Description Solution
pub/bwpdk/6.3.1/doc/html/users-guide/log-levels.htm,1,6,2,SIMPLE,,Log Levels,,Property Description Trace Includes all information regarding the running process. Debug Indicates a developer-defined t
pub/bwpdk/6.3.1/doc/html/users-guide/palette-activity.htm,1,5,3,SIMPLE,,General,,Property Module Property? Yes/No Description Name No The name to be displayed as the label for the shared resource in th
pub/bwpdk/6.3.1/doc/html/users-guide/palette-activity.htm,2,5,3,SIMPLE,,Input,,Input Item Data Type Description
pub/bwpdk/6.3.1/doc/html/users-guide/palette-activity.htm,3,3,3,SIMPLE,,Output,,Output Item Data Type Description
pub/bwpdk/6.3.1/doc/html/users-guide/palette-activity.htm,4,3,3,SIMPLE,,Fault,,Error Schema Element Data Type Description msg string The error message returned by the plug-in. msgCode string The erro
pub/bwpdk/6.3.1/doc/html/users-guide/palette-activity.htm,5,3,2,SIMPLE,,Fault,,"Fault Thrown When... For example, TwitterAPIException The plug-in cannot send the request or parse the response."
pub/bwpluginas/8.1.1/doc/html/installation/installation-modes.htm,1,4,3,SIMPLE,,Installation Modes and Procedures,,"Installation Mode Description Reference GUI In GUI mode, the installer contains panels where you can select a product, p"
pub/bwpluginas/8.1.1/doc/html/installation/installation-troubleshooting.htm,1,4,2,SIMPLE,,Troubleshooting Installation,,Platform Location Microsoft Windows C:\Users\ username \.TIBCO\ install_timestamp Linux user_home_dir /.TIBCO/ install_t
pub/bwpluginas/8.1.1/doc/html/installation/plugin-adding-to-bwce.htm,1,2,2,LIST_IN_CELL,,Adding the Plug-in to TIBCO BusinessWorks™ Container Edition,,Platform Reference Docker or Docker-based platforms Application Development for Docker section: Creating the TIBCO Busin
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installation-components.htm,1,3,2,MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Installation Components and Profiles,,Component Description TIBCO ActiveMatrix BusinessWorks™ Plug-in for ActiveSpaces Design This component includes the pale
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installation-environment.htm,1,4,2,SIMPLE,,Installation Environment,,Property Description Directory Identifies the directory where the product is installed. TIBCO_HOME It is the top-level i
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installation-requirements.htm,1,3,2,SIMPLE,,Installation Account and Permission Requirements,,Platform Account Privileges Microsoft Windows Only users with administrator privileges can install the plug-in. If you d
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installation-requirements.htm,2,5,2,MULTI_PARAGRAPH,,Software Requirements,,Software Description TIBCO ActiveMatrix BusinessWorks™ Required. ActiveMatrix BusinessWorks supports your integration pr
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installation-update-sites.htm,1,4,3,SIMPLE,,Installing by Using an Update Site,,Installation method Description Reference Public update site You can install the plug-in from within TIBCO Business Stud
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installing-local-update-site.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using a Local Update Site or Directory,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installing-plugins-manager.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using BusinessWorks Plug-ins Manager,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installing-public-update-site.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using the Public Update Site,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installing-silent-mode.htm,1,1,3,FAKE_LIST,,,,
pub/bwpluginas/8.1.1/doc/html/installation/plugin-installing-silent-mode.htm,2,1,3,FAKE_LIST,,,,
pub/bwpluginas/8.1.1/doc/html/installation/plugin-uninstallation-update-sites.htm,1,3,3,SIMPLE,,Uninstalling by Using an Update Site,,Uninstallation method Description Reference Uninstall using the public update site You can uninstall the plug-in from wi
pub/bwpluginas/8.1.1/doc/html/installation/plugin-uninstalling-gui-mode.htm,1,3,2,SIMPLE,,Uninstalling in GUI Mode,,Option Description Custom Uninstall You can select the products to be removed. Typical Uninstall You cannot select the p
pub/bwpluginas/8.1.1/doc/html/installation/plugin-uninstalling-plugins-manager.htm,1,3,2,SIMPLE,,Uninstalling the Plug-in by Using BusinessWorks Plug-ins Manager,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/installation/plugin-uninstalling-silent-mode.htm,1,5,2,CODE_IN_CELL,,Uninstalling in Silent Mode,,Command-Line Options Description uninstallTIBCOHome The path to the TIBCO_HOME where you want to run the uninstaller. Th
pub/bwpluginas/8.1.1/doc/html/installation/plugin-uninstalling-update-site.htm,1,3,2,SIMPLE,,Uninstalling the Plug-in by Using the Public Update Site or Local Update Site,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/users-guide/business-studio-overview.htm,1,7,2,CODE_IN_CELL|IMAGE_IN_CELL|LIST_IN_CELL,,Overview of TIBCO Business Studio for BusinessWorks,,"UI Element Description Menu Contains menu items such as File, Edit, Navigate, Search, Project, Run, Window, and Help. To"
pub/bwpluginas/8.1.1/doc/html/users-guide/creating-a-project.htm,1,3,2,SIMPLE,,Creating a Project,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <studio_version>
pub/bwpluginas/8.1.1/doc/html/users-guide/datagrid-connection-parameters.htm,1,4,3,SIMPLE,,General,,Field Module Property? Description Package No Specifies the package that saves the DataGrid shared resource. Name No Spe
pub/bwpluginas/8.1.1/doc/html/users-guide/datagrid-connection-parameters.htm,2,10,3,MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,DataGrid,,Field Module Property? Description Grid Name No Specifies the name to be displayed as the label for the DataGrid shared 
pub/bwpluginas/8.1.1/doc/html/users-guide/datagrid-connection-parameters.htm,3,3,3,SIMPLE,,Security,,Field Module Property? Description Use SSL No Specifies whether to use a secure URL for the DataGrid shared resource. Tr
pub/bwpluginas/8.1.1/doc/html/users-guide/datagrid-connection-parameters.htm,4,3,3,NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Prefetch and Snapshot Settings,,Field Module Property? Description Prefetch No Specifies the units of data to be transferred in the DataGrid shared reso
pub/bwpluginas/8.1.1/doc/html/users-guide/datagrid-connection-parameters.htm,5,4,3,SIMPLE,,Proxy Binding Settings,,Field Module Property? Description Binding Strategy No Specifies the method to select a proxy for the client. You can se
